"V1","V2"
101,7219979261.5862
102,4405243816.19237
103,2456288632.41075
104,11322603473.3361
105,-13477323158.4776
106,-5217577.73386668
107,5291843.36177475
108,9115145.11744229
109,2058575.29110277
110,-16188065.2172237
111,389761.153956212
112,-55414007.8389903
113,198683720.774976
114,1266014986.96032
115,34561382.1588589
116,-3920385.92332487
117,-381608.245974261
118,4395353.47284083
119,1382364.58563216
120,-135993102.818051
121,44468574.1932532
122,-106039376.578495
123,13329446.6437523
124,46917453.1139658
125,10000377.5942379
126,-81941792.1061135
127,193914441737.013
128,1003662871739.15
129,-329089023728.232
130,-125601599850.753
131,64744305466.5318
132,-232482731739.195
133,55407465976.2064
134,-329234317120.272
135,-11209734687015.6
136,2252862910313.81
137,1469619694301.74
138,33499445953417.5
139,-14879787455066.6
140,88185424152.8259
141,5059380682388.34
142,-4178726651183.25
143,-80413960074.6367
144,-1475358000.06756
145,1900780420.2677
146,-41511892867.1074
147,24006539.1909032
148,138215369.175587
149,513947819.005275
150,960006929.910358
151,-481916306.389184
152,-253259814.113735
153,2677568.38142822
154,218063829.437829
155,663050417.13771
156,26250499.4102304
157,-15399959.4423221
158,16266270.6639112
159,44523558.3432809
160,-1029277966.07535
161,-524092149.227505
162,122417651.139057
163,-10537997.4121281
164,136096563.651393
165,209719076.918224
166,-19481312.1956672
167,-3077747.67029223
168,-15453044.490017
169,-619823.882959252
170,215756.470380191
171,1068130.79977412
172,14819033.4602494
173,68762383.5923872
174,-8464361.69773594
175,-585.245872099942
176,53235324.3566955
177,102619221.382865
178,197685581.570076
179,-62324846.9762608
180,-2714814913.32576
181,1641609968.68306
182,21917577.5052812
183,-137462046.576824
184,213532939.369555
185,83284302.9744897
186,-129213189.084329
187,-56829810.9444768
188,-14066646356.7274
189,9218056953.21204
190,-11964975.7233735
191,-542798617.476148
192,56963247.2216313
193,-132553634.276552
194,-846987257.031048
195,-427496017.862999
196,-7242801.44709023
197,63339514.412085
198,229418823.362269
199,48392251.153199
